,Precio,Currency,Precio_EUR,Boat Type,Manufacturer,Type,Year Built,Length,Width,Material,Country,City,Number of views last 7 days
0,3337.0,CHF,3470.48,Motor Yacht,Rigiflex power boats,new boat from stock,2017,4.0,1.9,unknown,Switzerland , Lake Geneva ,226
1,3490.0,EUR,3490.0,Center console boat,Terhi power boats,new boat from stock,2020,4.0,1.5,Thermoplastic,Germany , Bnningstedt,75
2,3770.0,CHF,3920.8,Sport Boat,Marine power boats,new boat from stock,0,3.69,1.42,Aluminium,Switzerland , Lake of Zurich ,124
3,25900.0,DKK,3367.0,Sport Boat,Pioner power boats,new boat from stock,2020,3.0,1.0,unknown,Denmark , Svendborg,64
4,3399.0,EUR,3399.0,Fishing Boat,Linder power boats,new boat from stock,2019,3.55,1.46,Aluminium,Germany , Bayern ,58
5,3650.0,CHF,3796.0,Sport Boat,Linder power boats,new boat from stock,0,4.03,1.56,Aluminium,Switzerland , Lake Constance ,132
6,3600.0,CHF,3744.0,Catamaran,unknown,"Used boat,Unleaded",1999,6.2,2.38,Aluminium,Switzerland , Neuenburgersee ,474
8,3333.0,EUR,3333.0,Fishing Boat,Crescent power boats,new boat from stock,2019,3.64,1.37,unknown,Germany , Bayern ,45
9,3300.0,EUR,3300.0,Pontoon Boat,Whaly power boats,new boat from stock,2018,4.35,1.73,unknown,Italy , Dormelletto ,180
10,3500.0,CHF,3640.0,Fishing Boat,Terhi power boats,"Used boat,Electric",1987,4.35,1.75,GRP,Switzerland , Seengen,239
11,3480.0,CHF,3619.2000000000003,Fishing Boat,Marine power boats,new boat from stock,0,4.13,1.41,Aluminium,Switzerland , Lake of Zurich ,145
12,3500.0,EUR,3500.0,Sport Boat,GS Nautica power boats,Used boat,2004,4.7,2.0,GRP,Italy , Lake Garda ,69
13,4600.0,CHF,4784.0,Runabout,Kimple power boats,new boat from stock,2020,4.4,1.65,Aluminium,Switzerland , Zugersee ,113
14,4500.0,CHF,4680.0,Fishing Boat,Italmarine power boats,"Used boat,Unleaded",1997,3.72,1.33,Aluminium,Switzerland , Vierwaldst¤ttersee ,413
15,4400.0,CHF,4576.0,Deck Boat,Buster power boats,"new boat from stock,Unleaded",0,3.88,1.49,Aluminium,Switzerland , Safenwil,263
16,4380.0,CHF,4555.2,Sport Boat,Linder power boats,new boat from stock,0,4.31,1.64,Aluminium,Switzerland , Lake Constance ,462
17,30000.0,DKK,3900.0,Sport Boat,unknown,Used boat,1985,4.0,1.0,unknown,Denmark , Svendborg,124
18,4000.0,EUR,4000.0,Pilothouse,BÃ©nÃ©teau power boats,"Used boat,Diesel",1981,8.0,2.84,PVC,France ," MARTGUES, MARTIGUES",265
19,4000.0,EUR,4000.0,Cabin Boat,unknown,"Used boat,Unleaded",2011,6.37,2.31,GRP,Germany , Bayern ,330
20,3999.0,EUR,3999.0,Fishing Boat,Linder power boats,new boat from stock,2019,3.55,1.46,Aluminium,Germany , Bayern ,69
21,4267.0,CHF,4437.68,Fishing Boat,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",0,3.78,1.71,GRP,Switzerland , Luganersee ,198
22,3930.0,EUR,3930.0,Sport Boat,Linder power boats,"new boat from stock,Unleaded",2020,4.31,1.64,Aluminium,Germany , Nordrhein-Westfalen ,90
23,3900.0,EUR,3900.0,Sport Boat,Kammin power boats,"Used boat,Unleaded",1979,5.6,2.1,GRP,Germany ," BOOTSSERVICE ENK IN TREIS KARDEN, BOOTSSERVICE ENK",98
24,3900.0,EUR,3900.0,Cabin Boat,unknown,Used boat,1985,6.53,2.47,unknown,France ," Marseille, France",383
25,4200.0,CHF,4368.0,Fishing Boat,Bucher power boats,"Used boat,Unleaded",1998,5.7,1.55,GRP,Switzerland , Diessenhofen,160
26,4200.0,CHF,4368.0,Fishing Boat,MÃ¤ndli power boats,"Used boat,Unleaded",0,4.0,1.5,GRP,Switzerland , Lake of Zurich ,295
27,4030.0,CHF,4191.2,Fishing Boat,Linder power boats,new boat from stock,2018,3.55,1.46,Aluminium,Switzerland , Vierwaldst¤ttersee ,130
28,4000.0,CHF,4160.0,Fishing Boat,unknown,"Used boat,Unleaded",1994,5.6,1.58,GRP,Switzerland , Lake of Zurich ,641
29,3975.0,CHF,4134.0,Fishing Boat,Terhi power boats,new boat from stock,2020,4.01,1.5,Thermoplastic,Switzerland , Horgen,512
30,3950.0,CHF,4108.0,Sport Boat,MÃ¤ndli power boats,Used boat,1996,4.84,1.58,GRP,Switzerland , Lake of Zurich ,202
31,3900.0,CHF,4056.0,Sport Boat,unknown,"Used boat,Unleaded",1972,5.05,1.9,GRP,Switzerland , Thunersee ,423
32,3890.0,CHF,4045.6000000000004,Sport Boat,Pioner power boats,new boat on order,0,3.81,1.65,unknown,Switzerland , Safenwil,105
33,3850.0,CHF,4004.0,Sport Boat,Linder power boats,new boat from stock,0,3.55,1.46,Aluminium,Switzerland , Lake Constance ,120
34,3800.0,CHF,3952.0,Fishing Boat,Quicksilver (Brunswick Marine) power boats,"Used boat,Unleaded",1996,4.41,1.71,Aluminium,Switzerland , Luganersee ,255
35,3800.0,CHF,3952.0,Cabin Boat,Draco power boats,"Used boat,Unleaded",1980,6.2,2.45,GRP,Switzerland , Walensee ,1804
36,3800.0,CHF,3952.0,Fishing Boat,Hensa  power boats,"Used boat,Unleaded",1974,5.4,1.67,Plastic,Switzerland , Sihlsee ,849
37,3790.0,CHF,3941.6,Sport Boat,Pioner power boats,new boat on order,0,3.93,1.55,unknown,Switzerland , Safenwil,144
38,3500.0,EUR,3500.0,Center console boat,Ibis power boats,"Used boat,Unleaded",1983,4.4,1.5,GRP,Germany , Verkaufshafen Brandenburg-Plaue,133
39,3500.0,EUR,3500.0,Sport Boat,Rio power boats,"Used boat,Unleaded",1991,4.0,1.62,unknown,France ," DIENVILLE, DIENVILLE",98
40,3500.0,EUR,3500.0,Cabin Boat,Jouandoudet power boats,"Used boat,Unleaded",1992,4.36,1.74,unknown,France,,393
41,5170.0,GBP,5893.799999999999,Working Boat,Buster power boats,new boat from stock,2019,3.88,1.49,unknown,United Kingdom ," Burton Waters, Burton Waters",54
43,5500.0,EUR,5500.0,Sport Boat,Corsiva power boats,new boat from stock,2018,5.2,2.2,GRP,Germany , Berlin ,186
44,5500.0,EUR,5500.0,Center console boat,Saver power boats,"Used boat,Unleaded",1997,4.4,1.78,PVC,Spain ," Cabo de Palos, Espagne",118
45,5500.0,EUR,5500.0,Sport Boat,Ilver power boats,Used boat,1961,5.5,2.06,GRP,Italy , emilia,74
